,유아여성인구수,유아남성인구수,초등학생여성인구수,초등학생남성인구수,중학생여성인구수,중학생남성인구수,고등학생여성인구수,고등학생남성인구수,geometry,미성년총인구,만12세이하총인구
0,11.0,9.0,21.0,13.0,0.0,6.0,7.0,11.0,"POLYGON ((940400 1950200, 940400 1950300, 940500 1950300, 940500 1950200, 940400 1950200))",78.0,54.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((939100 1952800, 939100 1952900, 939200 1952900, 939200 1952800, 939100 1952800))",0.0,0.0
2,28.0,23.0,39.0,24.0,15.0,9.0,19.0,15.0,"POLYGON ((940200 1950300, 940200 1950400, 940300 1950400, 940300 1950300, 940200 1950300))",172.0,114.0
3,18.0,16.0,43.0,43.0,19.0,16.0,14.0,12.0,"POLYGON ((940000 1951800, 940000 1951900, 940100 1951900, 940100 1951800, 940000 1951800))",181.0,120.0
4,0.0,0.0,9.0,8.0,0.0,0.0,0.0,6.0,"POLYGON ((942900 1950500, 942900 1950600, 943000 1950600, 943000 1950500, 942900 1950500))",23.0,17.0
5,0.0,0.0,10.0,12.0,0.0,7.0,8.0,8.0,"POLYGON ((942900 1948500, 942900 1948600, 943000 1948600, 943000 1948500, 942900 1948500))",45.0,22.0
6,7.0,21.0,23.0,21.0,0.0,7.0,6.0,7.0,"POLYGON ((941500 1951000, 941500 1951100, 941600 1951100, 941600 1951000, 941500 1951000))",92.0,72.0
7,8.0,0.0,23.0,21.0,9.0,13.0,10.0,11.0,"POLYGON ((940800 1949500, 940800 1949600, 940900 1949600, 940900 1949500, 940800 1949500))",95.0,52.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((938100 1954100, 938100 1954200, 938200 1954200, 938200 1954100, 938100 1954100))",0.0,0.0
9,9.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,"POLYGON ((939500 1950900, 939500 1951000, 939600 1951000, 939600 1950900, 939500 1950900))",21.0,15.0
10,16.0,12.0,13.0,23.0,10.0,12.0,13.0,14.0,"POLYGON ((940900 1950700, 940900 1950800, 941000 1950800, 941000 1950700, 940900 1950700))",113.0,64.0
11,0.0,0.0,6.0,10.0,8.0,0.0,0.0,0.0,"POLYGON ((939200 1951000, 939200 1951100, 939300 1951100, 939300 1951000, 939200 1951000))",24.0,16.0
12,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,"POLYGON ((943200 1949000, 943200 1949100, 943300 1949100, 943300 1949000, 943200 1949000))",7.0,7.0
13,10.0,11.0,15.0,20.0,6.0,9.0,8.0,7.0,"POLYGON ((940900 1949800, 940900 1949900, 941000 1949900, 941000 1949800, 940900 1949800))",86.0,56.0
14,14.0,12.0,13.0,12.0,6.0,7.0,11.0,9.0,"POLYGON ((942500 1948300, 942500 1948400, 942600 1948400, 942600 1948300, 942500 1948300))",84.0,51.0
15,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((943400 1948200, 943400 1948300, 943500 1948300, 943500 1948200, 943400 1948200))",14.0,14.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942300 1952500, 942300 1952600, 942400 1952600, 942400 1952500, 942300 1952500))",0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((941800 1950100, 941800 1950200, 941900 1950200, 941900 1950100, 941800 1950100))",0.0,0.0
18,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"POLYGON ((942500 1949900, 942500 1950000, 942600 1950000, 942600 1949900, 942500 1949900))",12.0,12.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((939400 1952200, 939400 1952300, 939500 1952300, 939500 1952200, 939400 1952200))",0.0,0.0
20,12.0,10.0,32.0,30.0,18.0,15.0,9.0,19.0,"POLYGON ((944600 1950600, 944600 1950700, 944700 1950700, 944700 1950600, 944600 1950600))",145.0,84.0
21,9.0,0.0,24.0,16.0,14.0,16.0,9.0,11.0,"POLYGON ((941500 1950700, 941500 1950800, 941600 1950800, 941600 1950700, 941500 1950700))",99.0,49.0
22,15.0,12.0,9.0,12.0,6.0,7.0,0.0,11.0,"POLYGON ((942500 1948200, 942500 1948300, 942600 1948300, 942600 1948200, 942500 1948200))",72.0,48.0
23,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"POLYGON ((943400 1950700, 943400 1950800, 943500 1950800, 943500 1950700, 943400 1950700))",6.0,6.0
24,22.0,16.0,0.0,9.0,0.0,7.0,0.0,6.0,"POLYGON ((942300 1952400, 942300 1952500, 942400 1952500, 942400 1952400, 942300 1952400))",60.0,47.0
25,16.0,14.0,44.0,39.0,9.0,12.0,10.0,14.0,"POLYGON ((940400 1950900, 940400 1951000, 940500 1951000, 940500 1950900, 940400 1950900))",158.0,113.0
26,15.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,"POLYGON ((943900 1950700, 943900 1950800, 944000 1950800, 944000 1950700, 943900 1950700))",37.0,37.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942000 1952600, 942000 1952700, 942100 1952700, 942100 1952600, 942000 1952600))",0.0,0.0
28,8.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,"POLYGON ((942100 1949300, 942100 1949400, 942200 1949400, 942200 1949300, 942100 1949300))",30.0,30.0
29,11.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((939000 1953200, 939000 1953300, 939100 1953300, 939100 1953200, 939000 1953200))",29.0,29.0
30,10.0,21.0,7.0,7.0,0.0,0.0,0.0,6.0,"POLYGON ((943500 1948700, 943500 1948800, 943600 1948800, 943600 1948700, 943500 1948700))",51.0,45.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942300 1948100, 942300 1948200, 942400 1948200, 942400 1948100, 942300 1948100))",0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942200 1949600, 942200 1949700, 942300 1949700, 942300 1949600, 942200 1949600))",0.0,0.0
33,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942700 1948300, 942700 1948400, 942800 1948400, 942800 1948300, 942700 1948300))",7.0,7.0
34,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,"POLYGON ((942000 1949300, 942000 1949400, 942100 1949400, 942100 1949300, 942000 1949300))",17.0,17.0
35,8.0,8.0,13.0,12.0,0.0,0.0,0.0,6.0,"POLYGON ((943700 1949200, 943700 1949300, 943800 1949300, 943800 1949200, 943700 1949200))",47.0,41.0
36,0.0,0.0,19.0,8.0,8.0,9.0,8.0,0.0,"POLYGON ((941300 1948600, 941300 1948700, 941400 1948700, 941400 1948600, 941300 1948600))",52.0,27.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((943600 1949800, 943600 1949900, 943700 1949900, 943700 1949800, 943600 1949800))",0.0,0.0
38,8.0,0.0,44.0,39.0,18.0,19.0,20.0,17.0,"POLYGON ((940300 1951900, 940300 1952000, 940400 1952000, 940400 1951900, 940300 1951900))",165.0,91.0
39,7.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,"POLYGON ((939700 1953200, 939700 1953300, 939800 1953300, 939800 1953200, 939700 1953200))",26.0,26.0
40,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((943500 1950400, 943500 1950500, 943600 1950500, 943600 1950400, 943500 1950400))",8.0,8.0
41,12.0,10.0,22.0,19.0,7.0,10.0,11.0,6.0,"POLYGON ((942700 1948500, 942700 1948600, 942800 1948600, 942800 1948500, 942700 1948500))",97.0,63.0
42,15.0,31.0,9.0,23.0,7.0,0.0,9.0,8.0,"POLYGON ((942600 1949000, 942600 1949100, 942700 1949100, 942700 1949000, 942600 1949000))",102.0,78.0
43,7.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,"POLYGON ((943500 1948400, 943500 1948500, 943600 1948500, 943600 1948400, 943500 1948400))",20.0,13.0
44,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"POLYGON ((944500 1950600, 944500 1950700, 944600 1950700, 944600 1950600, 944500 1950600))",6.0,6.0
45,17.0,24.0,11.0,13.0,7.0,7.0,0.0,0.0,"POLYGON ((938800 1951400, 938800 1951500, 938900 1951500, 938900 1951400, 938800 1951400))",79.0,65.0
46,40.0,27.0,16.0,13.0,0.0,0.0,0.0,6.0,"POLYGON ((943400 1951600, 943400 1951700, 943500 1951700, 943500 1951600, 943400 1951600))",102.0,96.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((939200 1952800, 939200 1952900, 939300 1952900, 939300 1952800, 939200 1952800))",0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((939000 1951100, 939000 1951200, 939100 1951200, 939100 1951100, 939000 1951100))",0.0,0.0
49,11.0,22.0,15.0,19.0,10.0,14.0,8.0,10.0,"POLYGON ((941700 1949900, 941700 1950000, 941800 1950000, 941800 1949900, 941700 1949900))",109.0,67.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942200 1949900, 942200 1950000, 942300 1950000, 942300 1949900, 942200 1949900))",0.0,0.0
51,10.0,0.0,6.0,0.0,0.0,7.0,0.0,6.0,"POLYGON ((939100 1951300, 939100 1951400, 939200 1951400, 939200 1951300, 939100 1951300))",29.0,16.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942200 1950100, 942200 1950200, 942300 1950200, 942300 1950100, 942200 1950100))",0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942300 1947800, 942300 1947900, 942400 1947900, 942400 1947800, 942300 1947800))",0.0,0.0
54,16.0,11.0,16.0,10.0,6.0,7.0,8.0,8.0,"POLYGON ((942900 1950600, 942900 1950700, 943000 1950700, 943000 1950600, 942900 1950600))",82.0,53.0
55,7.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,"POLYGON ((941800 1948100, 941800 1948200, 941900 1948200, 941900 1948100, 941800 1948100))",29.0,29.0
56,0.0,6.0,24.0,23.0,8.0,11.0,6.0,8.0,"POLYGON ((940300 1952000, 940300 1952100, 940400 1952100, 940400 1952000, 940300 1952000))",86.0,53.0
57,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942700 1951800, 942700 1951900, 942800 1951900, 942800 1951800, 942700 1951800))",8.0,8.0
58,32.0,32.0,50.0,36.0,10.0,10.0,11.0,12.0,"POLYGON ((939800 1951800, 939800 1951900, 939900 1951900, 939900 1951800, 939800 1951800))",193.0,150.0
59,9.0,0.0,6.0,9.0,6.0,7.0,0.0,13.0,"POLYGON ((942200 1950500, 942200 1950600, 942300 1950600, 942300 1950500, 942200 1950500))",50.0,24.0
60,19.0,20.0,19.0,29.0,10.0,14.0,12.0,0.0,"POLYGON ((940100 1951800, 940100 1951900, 940200 1951900, 940200 1951800, 940100 1951800))",123.0,87.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942000 1951900, 942000 1952000, 942100 1952000, 942100 1951900, 942000 1951900))",0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((940000 1949900, 940000 1950000, 940100 1950000, 940100 1949900, 940000 1949900))",0.0,0.0
63,14.0,0.0,12.0,17.0,16.0,0.0,7.0,0.0,"POLYGON ((943100 1948500, 943100 1948600, 943200 1948600, 943200 1948500, 943100 1948500))",66.0,43.0
64,28.0,16.0,18.0,34.0,10.0,15.0,11.0,6.0,"POLYGON ((944000 1950800, 944000 1950900, 944100 1950900, 944100 1950800, 944000 1950800))",138.0,96.0
65,0.0,0.0,0.0,0.0,7.0,0.0,6.0,8.0,"POLYGON ((941400 1950600, 941400 1950700, 941500 1950700, 941500 1950600, 941400 1950600))",21.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"POLYGON ((940800 1950800, 940800 1950900, 940900 1950900, 940900 1950800, 940800 1950800))",6.0,0.0
67,17.0,21.0,15.0,19.0,0.0,8.0,12.0,7.0,"POLYGON ((943500 1950700, 943500 1950800, 943600 1950800, 943600 1950700, 943500 1950700))",99.0,72.0
68,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942700 1950500, 942700 1950600, 942800 1950600, 942800 1950500, 942700 1950500))",19.0,19.0
69,6.0,12.0,8.0,16.0,8.0,0.0,0.0,0.0,"POLYGON ((942000 1951300, 942000 1951400, 942100 1951400, 942100 1951300, 942000 1951300))",50.0,42.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((943500 1948900, 943500 1949000, 943600 1949000, 943600 1948900, 943500 1948900))",0.0,0.0
71,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((942500 1950500, 942500 1950600, 942600 1950600, 942600 1950500, 942500 1950500))",7.0,7.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((944100 1950500, 944100 1950600, 944200 1950600, 944200 1950500, 944100 1950500))",0.0,0.0
73,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((941800 1948700, 941800 1948800, 941900 1948800, 941900 1948700, 941800 1948700))",13.0,13.0
74,19.0,13.0,23.0,16.0,11.0,7.0,10.0,9.0,"POLYGON ((944200 1950700, 944200 1950800, 944300 1950800, 944300 1950700, 944200 1950700))",108.0,71.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((941800 1951200, 941800 1951300, 941900 1951300, 941900 1951200, 941800 1951200))",0.0,0.0
76,35.0,28.0,38.0,24.0,9.0,12.0,11.0,0.0,"POLYGON ((940000 1952700, 940000 1952800, 940100 1952800, 940100 1952700, 940000 1952700))",157.0,125.0
77,12.0,7.0,9.0,14.0,9.0,7.0,6.0,17.0,"POLYGON ((941300 1948700, 941300 1948800, 941400 1948800, 941400 1948700, 941300 1948700))",81.0,42.0
78,8.0,0.0,10.0,11.0,0.0,9.0,0.0,0.0,"POLYGON ((942400 1950200, 942400 1950300, 942500 1950300, 942500 1950200, 942400 1950200))",38.0,29.0
79,0.0,0.0,9.0,16.0,7.0,11.0,9.0,6.0,"POLYGON ((941200 1950100, 941200 1950200, 941300 1950200, 941300 1950100, 941200 1950100))",58.0,25.0
80,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"POLYGON ((942000 1950800, 942000 1950900, 942100 1950900, 942100 1950800, 942000 1950800))",6.0,0.0
81,29.0,24.0,10.0,6.0,0.0,0.0,0.0,0.0,"POLYGON ((943200 1951300, 943200 1951400, 943300 1951400, 943300 1951300, 943200 1951300))",69.0,69.0
82,9.0,16.0,11.0,17.0,0.0,0.0,0.0,0.0,"POLYGON ((938900 1952300, 938900 1952400, 939000 1952400, 939000 1952300, 938900 1952300))",53.0,53.0
83,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,"POLYGON ((940200 1952900, 940200 1953000, 940300 1953000, 940300 1952900, 940200 1952900))",20.0,10.0
84,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,"POLYGON ((940700 1950500, 940700 1950600, 940800 1950600, 940800 1950500, 940700 1950500))",7.0,7.0
85,33.0,38.0,39.0,42.0,11.0,17.0,10.0,14.0,"POLYGON ((942100 1951400, 942100 1951500, 942200 1951500, 942200 1951400, 942100 1951400))",204.0,152.0
86,7.0,6.0,0.0,7.0,0.0,0.0,6.0,8.0,"POLYGON ((941200 1949900, 941200 1950000, 941300 1950000, 941300 1949900, 941200 1949900))",34.0,20.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((943600 1950600, 943600 1950700, 943700 1950700, 943700 1950600, 943600 1950600))",0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((941700 1952000, 941700 1952100, 941800 1952100, 941800 1952000, 941700 1952000))",0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((943300 1949000, 943300 1949100, 943400 1949100, 943400 1949000, 943300 1949000))",0.0,0.0
90,12.0,19.0,13.0,19.0,11.0,0.0,11.0,9.0,"POLYGON ((944000 1951000, 944000 1951100, 944100 1951100, 944100 1951000, 944000 1951000))",94.0,63.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((938800 1953000, 938800 1953100, 938900 1953100, 938900 1953000, 938800 1953000))",0.0,0.0
92,13.0,20.0,37.0,39.0,19.0,19.0,12.0,10.0,"POLYGON ((941600 1950300, 941600 1950400, 941700 1950400, 941700 1950300, 941600 1950300))",169.0,109.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((943900 1950400, 943900 1950500, 944000 1950500, 944000 1950400, 943900 1950400))",0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((940200 1949900, 940200 1950000, 940300 1950000, 940300 1949900, 940200 1949900))",0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((939400 1951200, 939400 1951300, 939500 1951300, 939500 1951200, 939400 1951200))",0.0,0.0
