,시설명,도로명주소,geometry,어린이보호구역지정수,CCTV수,도로표지판수,과속방지턱수,어린이보행자사고건수,유아여성인구수,유아남성인구수,초등학생여성인구수,초등학생남성인구수,중학생여성인구수,중학생남성인구수,고등학생여성인구수,고등학생남성인구수,미성년총인구,만12세이하총인구,EMD_KOR_NM
0,화곡중학교,서울특별시 강서구 강서로45길 70,POINT (941047.9000000006 1950189.4000000197),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
496,더강한수학학원,서울특별시 강서구 강서로45길 73,POINT (941023.2999999996 1950115.6000000194),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
2,명덕여자중학교,서울특별시 강서구 강서로47길 34-10,POINT (941242.0600000009 1950644.6000000203),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
374,발산와이수학학원,서울특별시 강서구 강서로47길 30,POINT (941218.0999999997 1950604.6000000178),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
409,볼륨기타교습소,서울특별시 강서구 공항대로36가길 17,POINT (941230.9400000004 1950621.8000000184),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
436,엠탑수학교습소,서울특별시 강서구 강서로47길 26,POINT (941242.3999999989 1950600.60000002),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
7,덕원중학교,서울특별시 강서구 강서로45길 91-44,POINT (940696.2000000003 1950085.9000000178),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
10,수명중학교,서울특별시 강서구 수명로2길 16,POINT (940241.2000000007 1950165.8000000194),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
37,서울수명초등학교,서울특별시 강서구 수명로1길 84,POINT (940279.4000000006 1950595.9000000183),0,0,0,0,0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,16.0,내발산동
252,피아노숲음악교습소,서울특별시 강서구 수명로1길 16,POINT (940213.599999999 1950505.0000000177),0,0,0,0,0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,16.0,내발산동
40,서울발산초등학교,서울특별시 강서구 강서로45길 113,POINT (940892.9999999994 1950351.10000002),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
52,서울내발산초등학교,서울특별시 강서구 강서로46길 23,POINT (941576.059999999 1950460.5000000203),0,0,0,0,0,15.0,11.0,27.0,27.0,16.0,16.0,21.0,14.0,147.0,80.0,내발산동
61,수명고등학교,서울특별시 강서구 수명로2길 15,POINT (940354.099999999 1950260.900000018),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
65,화곡고등학교,서울특별시 강서구 강서로45길 69,POINT (940990.2500000003 1950109.600000019),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
86,한교학원,서울특별시 강서구 강서로45길 28,POINT (941221.2500000002 1950068.500000019),0,0,0,0,0,0.0,9.0,8.0,10.0,0.0,6.0,7.0,12.0,52.0,27.0,내발산동
923,베베키즈어린이집,서울특별시 강서구 강서로45길 18 태승훼미리아파트 101동103호 (내발산동),POINT (941273.0599999992 1950090.6000000187),0,0,0,0,0,0.0,9.0,8.0,10.0,0.0,6.0,7.0,12.0,52.0,27.0,내발산동
90,내발산스터디뱅크독서실,서울특별시 강서구 강서로 303,POINT (941359.9000000004 1950610.8000000187),0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,내발산동
371,제니퍼영어교습소,서울특별시 강서구 강서로 311,POINT (941384.5599999994 1950679.5000000196),0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,내발산동
121,일프로보습학원,서울특별시 강서구 강서로 304,POINT (941412.8000000007 1950582.6000000183),0,0,0,0,0,0.0,7.0,17.0,12.0,13.0,0.0,8.0,6.0,63.0,36.0,내발산동
157,씨엔씨영어수학의힘학원,서울특별시 강서구 강서로 300,POINT (941403.199999999 1950546.8000000187),0,0,0,0,0,0.0,7.0,17.0,12.0,13.0,0.0,8.0,6.0,63.0,36.0,내발산동
459,막강학원,서울특별시 강서구 강서로48길 6,POINT (941427.5999999999 1950558.9000000192),0,0,0,0,0,0.0,7.0,17.0,12.0,13.0,0.0,8.0,6.0,63.0,36.0,내발산동
543,공부에진심학원,서울특별시 강서구 강서로48길 9,POINT (941437.25 1950581.9000000188),0,0,0,0,0,0.0,7.0,17.0,12.0,13.0,0.0,8.0,6.0,63.0,36.0,내발산동
678,브레인맥스영어교습소,서울특별시 강서구 우장산로2길 45,POINT (941469.1 1950581.400000018),0,0,0,0,0,0.0,7.0,17.0,12.0,13.0,0.0,8.0,6.0,63.0,36.0,내발산동
907,발산 빅스맘 어린이집,서울특별시 강서구 우장산로2길 57 (내발산동),POINT (941453.599999999 1950530.600000018),0,0,0,0,0,0.0,7.0,17.0,12.0,13.0,0.0,8.0,6.0,63.0,36.0,내발산동
143,하이얼영어(Higher English)학원,서울특별시 강서구 강서로47길 25,POINT (941243.7000000008 1950575.9000000188),0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,내발산동
168,넥스트학원,서울특별시 강서구 강서로47길 19,POINT (941269.299999999 1950558.9000000192),0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,내발산동
180,세계로학원,서울특별시 강서구 강서로47길29,POINT (941217.7500000007 1950581.0000000196),0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,내발산동
649,주공수학과학전문학원,서울특별시 강서구 강서로47나길 6,POINT (941243.3999999998 1950560.8000000191),0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,내발산동
145,아띠음악학원,서울특별시 강서구 공항대로38길 80,POINT (941887.4 1951049.1000000178),0,0,0,0,0,13.0,9.0,14.0,24.0,8.0,8.0,8.0,9.0,93.0,60.0,내발산동
391,새열린피아노음악교습소,서울특별시 강서구 공항대로38길 73,POINT (941857.4999999997 1951079.0000000177),0,0,0,0,0,13.0,9.0,14.0,24.0,8.0,8.0,8.0,9.0,93.0,60.0,내발산동
573,청춘일화미술교습소,서울특별시 강서구 공항대로 308-18,POINT (941869.6000000009 1951080.1000000178),0,0,0,0,0,13.0,9.0,14.0,24.0,8.0,8.0,8.0,9.0,93.0,60.0,내발산동
149,강서와이즈만영재보습학원,서울특별시 강서구 강서로50길 16,POINT (941541.3000000003 1950851.0000000198),0,0,0,0,0,6.0,11.0,20.0,19.0,22.0,14.0,22.0,16.0,130.0,56.0,내발산동
358,이지국어교습소,서울특별시 강서구 우장산로 7,POINT (941527.7500000007 1950815.1000000194),0,0,0,0,0,6.0,11.0,20.0,19.0,22.0,14.0,22.0,16.0,130.0,56.0,내발산동
389,컴퍼스수학학원,서울특별시 강서구 우장산로 9,POINT (941549.0999999999 1950810.9000000192),0,0,0,0,0,6.0,11.0,20.0,19.0,22.0,14.0,22.0,16.0,130.0,56.0,내발산동
151,강서꿀수학교습소,서울특별시 강서구 강서로45길 36,POINT (941179.3999999997 1950067.9000000197),0,0,0,0,0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,21.0,14.0,내발산동
245,뉴마인드영어수학학원,서울특별시 강서구 강서로45길 46,POINT (941136.2500000009 1950073.100000019),0,0,0,0,0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,21.0,14.0,내발산동
362,글빛국어논술학원,서울특별시 강서구 강서로45길 42,POINT (941156.0999999992 1950071.5000000182),0,0,0,0,0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,21.0,14.0,내발산동
462,선진과학교습소,서울특별시 강서구 강서로45길 34-2,POINT (941193.4999999993 1950068.400000019),0,0,0,0,0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,21.0,14.0,내발산동
154,힐스테이트음악학원,서울특별시 강서구 강서로 348,POINT (941578.4400000009 1951033.9000000185),0,0,0,0,0,7.0,21.0,23.0,21.0,0.0,7.0,6.0,7.0,92.0,72.0,내발산동
176,한탑학원,서울특별시 강서구 강서로 327,POINT (941424.5600000003 1950839.5000000196),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
390,리딩퍼스트게이트학원,서울특별시 강서구 강서로 330,POINT (941481.9399999997 1950851.500000017),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
476,개념과기법수학학원,서울특별시 강서구 강서로 328,POINT (941474.9 1950825.8000000187),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
566,쎈수학러닝쎈터발산수학교습소,서울특별시 강서구 공항대로36길 73,POINT (941403.6999999991 1950864.2000000193),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내발산동
188,잉글리쉬무무내발산어학원,서울특별시 강서구 강서로 316,POINT (941437.299999999 1950696.6000000192),0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,8.0,21.0,0.0,내발산동
294,메가아카데미학원,서울특별시 강서구 강서로 308,POINT (941420.8 1950627.800000019),0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,8.0,21.0,0.0,내발산동
419,안쌤과학교습소,서울특별시 강서구 우장산로2길 24,POINT (941473.0000000005 1950689.1000000187),0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,8.0,21.0,0.0,내발산동
525,비에스영어교습소,서울특별시 강서구 강서로 310,POINT (941441.2999999999 1950654.200000018),0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,8.0,21.0,0.0,내발산동
601,목동사과나무강서투학원,서울특별시 강서구 우장산로2길 36,POINT (941450.5000000009 1950625.4000000185),0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,8.0,21.0,0.0,내발산동
633,목동사과나무학원,서울특별시 강서구 우장산로2길 21-6,POINT (941486.2000000007 1950656.5000000186),0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,8.0,21.0,0.0,내발산동
193,제이앤영어전문학원,서울특별시 강서구 강서로46길 39,POINT (941585.4399999988 1950377.6000000187),0,0,0,0,0,0.0,0.0,31.0,23.0,12.0,16.0,6.0,9.0,97.0,54.0,내발산동
261,우장산해법영어교습소,서울특별시 강서구 우장산로4길 83,POINT (941568.5000000008 1950378.8000000182),0,0,0,0,0,0.0,0.0,31.0,23.0,12.0,16.0,6.0,9.0,97.0,54.0,내발산동
195,더피아니스트음악교습소,서울특별시 강서구 수명로1길 110,POINT (940438.44 1950676.0000000182),0,0,0,0,0,0.0,0.0,10.0,17.0,10.0,13.0,0.0,7.0,57.0,27.0,내발산동
327,윤서음악교습소,서울특별시 강서구 수명로 78,POINT (940496.7499999991 1950622.0000000193),0,0,0,0,0,0.0,0.0,10.0,17.0,10.0,13.0,0.0,7.0,57.0,27.0,내발산동
197,최강학원,서울특별시 강서구 우장산로 24,POINT (941687.7000000004 1950769.9000000188),0,0,0,0,0,7.0,6.0,9.0,21.0,0.0,7.0,12.0,6.0,68.0,43.0,내발산동
267,기준과학전문학원,서울특별시 강서구 우장산로 16,POINT (941602.0600000011 1950775.4000000185),0,0,0,0,0,7.0,6.0,9.0,21.0,0.0,7.0,12.0,6.0,68.0,43.0,내발산동
198,클라라음악학원,서울특별시 강서구 강서로47길 165,POINT (940548.559999999 1950667.2000000186),0,0,0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,내발산동
298,에듀솔어학원,서울특별시 강서구 수명로 82,POINT (940506.5999999999 1950671.9000000202),0,0,0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,내발산동
421,알앤티키즈학원,서울특별시 강서구 강서로47길 169,POINT (940530.5599999997 1950669.5000000184),0,0,0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,내발산동
517,엠베스트국풍2000국어학원,서울특별시 강서구 수명로 80,POINT (940501.7000000008 1950644.6000000183),0,0,0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,내발산동
