연번,시설명,주소,시설규모(㎡)
1,강서누리지역아동센터,"서울특별시 강서구 송정로 32, 2층",99
2,경향지역아동센터,서울특별시 강서구 화곡로63길 19 (등촌동),85.2
3,꿈나무학교지역아동센터,"서울특별시 강서구 가로공원로 214-1, 2층 (화곡동)",91.13
4,람원행복한홈스쿨지역아동센터,"서울특별시 강서구 까치산로 160-5, 1, 2층 (화곡동)",150.78
5,발음지역아동센터,서울특별시 강서구 강서로47다길 41 (내발산동),216.05
6,밝은지역아동센터,"서울특별시 강서구 양천로17길 26-2, 1층 (방화동)",87.19
7,방화지역아동센터,"서울특별시 강서구 양천로6길 28, 3층 301호",131.34
8,새하늘지역아동센터,"서울특별시 강서구 화곡로24길 16 (화곡동), 1층",62.45
9,성광행복한지역아동센터,"서울특별시 강서구 양천로26길 103, 202호(방화동)",125.1
10,소은지역아동센터,"서울특별시 강서구 방화대로6나길 17, 2층 (공항동)",98.46
11,솔로몬지역아동센터,"서울특별시 강서구 양천로1길 106 (방화동), 2층",170
12,열린지역아동센터,서울특별시 강서구 초록마을로22길 8-5 2층(화곡동) ,135
13,위캔지역아동센터,"서울특별시 강서구 초록마을로 52-1, 2층",110.23
14,좋은사람들지역아동센터,"서울특별시 강서구 화곡로31길 39 (화곡동), 2층",84.6
15,좋은친구청소년지역아동센터,"서울특별시 강서구 가로공원로 237, 2층",140.8
16,주함지역아동센터,"서울특별시 강서구 강서로18길 41, 4층 (화곡동)",147.6
17,큰미래지역아동센터,"서울특별시 강서구 방화대로23길 49-5, 1층",82.71
18,한길지역아동센터,"서울특별시 강서구 공항대로65길 21 롯데캐슬아파트상가,1층",79.06
19,함께꿈꾸는지역아동센터,"서울특별시 강서구 강서로56길 96, 3층 (등촌동)",146.78
20,화곡지역아동센터,서울특별시 강서구 등촌로5길 79 (화곡동),108.1
